assay.id,petri.id,year,month,company,farm,drug,date,rep,conc,time,stage,sex,prop.alive,prev.emb,live
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,1
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,1
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,1
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,1
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,0
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,0
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,0
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,0
1,10,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,125,0,both,male,0.5,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,11,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,250,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,12,2010,09,mowi,Wicklow Point,emb,2010-09-28,2,500,0,both,male,0,0,0
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,13,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,0,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,14,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,31.3,0,both,male,1,0,1
1,15,2010,09,mowi,Wicklow Point,emb,2010-09-28,3,62.5,0,both,male,1,0,1
